win,score_us,score_opp,rounds,map,ban_a_us,ban_a_opp,ban_d_us,ban_d_opp,location_1,location_2,location_3,location_4,location_5,location_6,location_7,location_8,location_9,side_1,side_2,side_3,side_4,side_5,side_6,side_7,side_8,side_9,operator_1,operator_2,operator_3,operator_4,operator_5,operator_6,operator_7,operator_8,operator_9,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,kill_1,kill_2,kill_3,kill_4,kill_5,kill_6,kill_7,kill_8,kill_9,death_1,death_2,death_3,death_4,death_5,death_6,death_7,death_8,death_9,mihnea_1,mihnea_2,mihnea_3,mihnea_4,mihnea_5,mihnea_6,mihnea_7,mihnea_8,mihnea_9,kill_m_1,kill_m_2,kill_m_3,kill_m_4,kill_m_5,kill_m_6,kill_m_7,kill_m_8,kill_m_9,death_m_1,death_m_2,death_m_3,death_m_4,death_m_5,death_m_6,death_m_7,death_m_8,death_m_9,date
0,1,4,5,Bank,Dokkaebi,Thatcher,Warden,Clash,1,4,2,1,4,,,,,1,1,1,2,2,,,,,IQ,Twitch,IQ,Rook,Rook,,,,,0,0,0,1,0,,,,,0,0,0,0,0,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,5,9,Kafe,Dokkaebi,Amaru,Caveira,Warden,1,2,4,1,4,2,1,1,4,2,2,2,1,1,1,2,1,2,Rook,Rook,Rook,Twitch,Twitch,nokk,Rook,Twitch,Rook,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Kanal,Thatcher,Jackal,Caveira,Clash,1,4,1,4,1,4,,,,2,2,2,1,1,1,,,,Rook,Thorn,Thorn,Twitch,IQ,IQ,,,,0,1,0,1,0,0,,,,0,1,0,0,1,0,,,,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,4,4,Skyscraper,Dokkaebi,Jackal,Warden,Clash,1,2,3,1,,,,,,1,1,1,2,,,,,,Fuze,Fuze,Fuze,Thorn,,,,,,0,0,0,0,,,,,,2,0,1,0,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,2,6,Bank,Fuze,nothing,Warden,nothing,1,4,1,4,1,2,,,,1,1,1,2,2,2,,,,IQ,Grim,Osa,Mute,Bandit,Alibi,,,,1,0,0,1,1,1,,,,2,0,0,1,1,1,,,,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,2,6,Chalet,Fuze,Jackal,Solis,Clash,1,2,3,2,4,1,,,,1,1,1,2,2,2,,,,Osa,nokk,nokk,Thorn,Mute,Mute,,,,0,0,1,1,1,1,,,,0,0,1,1,1,1,,,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,2,6,Oregon,Fuze,Jackal,Clash,Fenrir,1,1,2,1,4,1,,,,1,1,1,2,2,2,,,,IQ,IQ,IQ,Thorn,Mute,Thorn,,,,1,1,0,0,1,1,,,,0,1,0,0,0,2,,,,1,0,1,1,1,0,,,,Osa,Osa,Osa,Goyo,Mira,Mira,,,,,,,,,,,,,,,,,,,,,,
0,4,5,9,Consulate,Dokkaebi,Jackal,Caveira,Clash,1,4,4,1,4,2,1,1,4,1,1,1,2,2,2,2,1,2,IQ,Ram,Ram,Thorn,Thorn,Thorn,Thorn,Osa,Thorn,0,1,0,1,0,1,1,0,0,1,0,2,1,1,3,0,0,0,1,1,1,1,1,0,1,1,1,Lion,Lion,Lion,Lesion,Kaid,Lesion,Maestro,Ying,Kaid,,,,,,,,,,,,,,,,,,,
1,4,2,6,Club House,Thatcher,Brava,Warden,Fenrir,1,2,4,1,2,4,,,,2,2,2,1,1,1,,,,Thorn,Thorn,Thorn,IQ,IQ,Ram,,,,1,1,1,0,0,1,,,,0,2,2,0,1,0,,,,0,0,0,1,1,0,,,,Frost,Frost,Kaid,Jackal,Ying,Ying,,,,,,,,,,,,,,,,,,,,,,
1,5,4,9,Villa,Jackal,Thatcher,Caveira,Fenrir,1,2,2,1,1,3,1,1,2,2,2,2,1,1,1,2,1,2,Thorn,Thorn,Thorn,Brava,Zofia,Ram,Thorn,Zofia,Thorn,1,0,0,1,1,0,1,0,1,0,0,1,2,2,1,3,0,1,0,1,1,0,0,1,0,1,0,Echo,Maestro,Lesion,Ying,Ying,Ying,Lesion,Ying,Kapkan,,,,,,,,,,,,,,,,,,,
0,1,4,5,Club House,Jackal,Osa,Kapkan,Fenrir,1,2,4,1,2,,,,,1,1,1,2,2,,,,,IQ,IQ,Dokkaebi,Bandit,Echo,,,,,0,0,0,1,0,,,,,1,0,0,1,0,,,,,1,1,1,1,1,,,,,Ying,Ying,Ying,Frost,Kaid,,,,,,,,,,,,,,,,,,,,,,,
1,4,0,4,Nighthaven,Osa,Thatcher,Warden,Caveira,1,4,2,1,,,,,,2,2,2,1,,,,,,Bandit,Thorn,Thorn,IQ,,,,,,1,1,1,1,,,,,,1,1,0,0,,,,,,1,0,1,1,,,,,,Lesion,Frost,Lesion,Grim,,,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Skyscraper,Glaz,Jackal,Fenrir,Clash,1,2,3,1,2,3,,,,1,1,1,2,2,2,,,,IQ,Maverick,Maverick,Thorn,Bandit,Thorn,,,,0,0,0,1,1,0,,,,1,0,0,0,2,2,,,,1,1,1,0,0,1,,,,Iana,Grim,Grim,Lesion,Lesion,Lesion,,,,,,,,,,,,,,,,,,,,,,
1,5,4,9,Nighthaven,Osa,Fuze,Warden,Clash,1,2,4,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1,Bandit,Thorn,Bandit,IQ,IQ,IQ,IQ,Bandit,Buck,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,Tachanka,Solis,Frost,Ying,Ying,Ying,Thermite,Thorn,Ram,,,,,,,,,,,,,,,,,,,
